IdLocalSap;CodigoMaterial;Departamento;Ean13;DigitoVerificador;Jerarquia;Pesable;Fraccionable;UnidadMedida;DescripcionCorta;DescripcionLarga;PrecioFlejes;ImportePPUMS;Impuesto;IdMarca;TipoBarra ;UnidadMedidaFlejes;TimeStampActualizacion
J512;995850;27;808305005181;1;271101004;0;0;UN;JUMPER COLEGIO T.;*JUMPER COLEGIO T. 8;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995859;27;808305005190;3;271101004;0;0;UN;JUMPER COLEGIO T.;*JUMPER COLEGIO T. 46;5290;5290;1;4507;HE;  ;2018-07-25T17:52:34
J512;995860;27;808305005191;0;271101004;0;0;UN;JUMPER COLEGIO T.;*JUMPER COLEGIO T. 48;5290;5290;1;4507;HE;  ;2018-07-25T17:52:34
J512;995861;27;808305005192;7;271101004;0;0;UN;JUMPER COLEGIO T.;*JUMPER COLEGIO T. 50;5290;5290;1;4507;HE;  ;2018-07-25T17:52:34
J512;995869;27;808305005200;9;271101005;0;0;UN;FALDA PLISADA AZUL;*FALDA PLISADA AZUL T. 40;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995871;27;808305005202;3;271101005;0;0;UN;FALDA PLISADA AZUL;*FALDA PLISADA AZUL T. 44;5990;5990;1;4507;HE;  ;2018-07-25T17:52:34
J512;995872;27;808305005203;0;271101005;0;0;UN;FALDA PLISADA AZUL;*FALDA PLISADA AZUL T. 46;5290;5290;1;4507;HE;  ;2018-07-25T17:52:34
J512;995923;27;808305005254;2;271101003;0;0;UN;PANTALON 5 BOLSILL;*PANTALON 5 BOLSILLOS SPANDEX T. 8 GRIS;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995957;27;808305005288;7;271105002;0;0;UN;DELANTAL BLANCO T.;*DELANTAL BLANCO T.40;4990;4990;1;4507;HE;  ;2018-07-25T17:52:34
J512;996001;27;808305005332;7;271105003;0;0;UN;COTONA GRIS T.8;*COTONA GRIS T.8;3490;3490;1;4507;HE;  ;2018-07-25T17:52:34
J512;996015;27;808305005346;4;271105001;0;0;UN;COTONA PARVULO CON;*COTONA PARVULO CON BOLSA T. 2;2990;2990;1;4507;HE;  ;2018-07-25T17:52:34
J512;996019;27;808305005350;1;271105002;0;0;UN;DELANTAL PARTVULO;*DELANTAL PARTVULO CON BOLSA T. 2;2990;2990;1;4507;HE;  ;2018-07-25T17:52:34
J512;996021;27;808305005352;5;271105002;0;0;UN;DELANTAL PARTVULO;*DELANTAL PARTVULO CON BOLSA T. 6;3490;3490;1;4507;HE;  ;2018-07-25T17:52:34
J512;996035;14;780494502038;2;141901003;0;0;UN;EST SIMONDS RECIEN;EST SIMONDS RECIEN NACIDO 5UN;5990;5990;1;4788;HE;UN;2018-07-25T17:52:34
J512;996036;14;780494501985;0;141305001;0;0;UN;PACK MAMADERA SIMO;*PACK MAMADERA SIMONDS 240ML+120ML;3890;1945;1;4788;HE;UN;2018-07-25T17:52:34
J512;996037;14;780494042181;8;140203001;0;0;UN;JABON KADUS GEL S ;JABON KADUS GEL S ENJUAGE 60ML;790;13166,67;1;2738;HE;LT;2018-07-25T17:52:34
J512;996038;14;780490201604;5;141402001;0;0;UN;CEPILLO DENT DENTO;CEPILLO DENT DENTO SENSITIVE EXTRA SUAVE;1979;1979;1;1411;HE;UN;2018-07-25T17:52:34
J512;996039;14;779129300534;8;140801001;0;0;UN;DESOD REXONA ORGAN;*DESOD REXONA ORGANICS ANTIT SP 105GR;1899;17263,64;1;4419;HE;KG;2018-07-25T17:17:39
J512;996041;14;779129300528;7;140801001;0;0;UN;DESOD REXONA BALAN;*DESOD REXONA BALANCE ANTIT SP 105GR;1999;18172,73;1;4419;HE;KG;2018-07-25T17:17:39
J512;996042;14;7892720;9;140801004;0;0;UN;DESOD REXONA BALAN;*DESOD REXONA BALANCE ROLL ON 50ML;1390;27800;1;4419;HK;LT;2018-07-25T17:52:34
J512;996044;55;471034573980;5;550122002;0;0;UN;TINTA PACIF EP 731;TINTA PACIFCOLOR EPSON TO 731 NEGRO 13ML;594;594;1;7678;HE;  ;2018-07-25T17:08:25
J512;996045;55;471034573984;3;550122002;0;0;UN;TINTA PACIF EPS117;TINTA PACIFCOLOR EPSON 117 NEGRO 13ML;594;594;1;7678;HE;  ;2018-07-25T17:08:25
J512;996046;55;471034573981;2;550122002;0;0;UN;TINTA PACIF YELL;TINTA PACIFCOLOR EPSON TO 732YELLOW 13ML;594;594;1;7678;HE;  ;2018-07-25T17:08:25
J512;996047;55;471034573982;9;550122002;0;0;UN;TINTA PACIF EPS MA;TINTA PACIFCOLOR EPSON TO733 MAGETA 13ML;594;594;1;7678;HE;  ;2018-07-25T17:08:25
J512;996048;55;471034573983;6;550122002;0;0;UN;TINTA PACIF 734 CY;TINTA PACIFCOLOR EPSON TO 734 CYAN 13ML;594;594;1;7678;HE;  ;2018-07-25T17:08:25
J512;996049;55;489700051200;0;550122002;0;0;UN;TINTA PACIF 631 NE;TINTA PACIFCOLOR EPSON TO 631 NEGRO 15ML;417;417;1;7678;HE;  ;2018-07-25T17:13:52
J512;996050;55;489700051201;7;550122002;0;0;UN;TINTA PACIF 632 CY;TINTA PACIFCOLOR EPSON TO 632 CYAN 15ML;417;417;1;7678;HE;  ;2018-07-25T17:13:52
J512;996051;55;489700051202;4;550122002;0;0;UN;TINTA PACI 633 MAG;TINTA PACIFCOLOR EPSON TO 633 MAGTA 15ML;417;417;1;7678;HE;  ;2018-07-25T17:13:52
J512;996052;55;489700051203;1;550122002;0;0;UN;TINTA PACIF 634YEL;TINTA PACIFCOLOR EPSON TO634 YELLOW 15ML;417;417;1;7678;HE;  ;2018-07-25T17:13:52
J512;996054;55;489700021107;1;550122002;0;0;UN;TINTA PACI 39 COL;*TINTA PACIFCOLOR EPSON TO 39 COLOR 30ML;537;537;1;7678;HE;  ;2018-07-25T17:13:52
J512;996055;55;489700021150;7;550122002;0;0;UN;TINTA PACIF 461NEG;TINTA PACIFCOLOR EPSON TO461 NEGRO 17ML;567;567;1;7678;HE;  ;2018-07-25T17:13:52
J512;996056;55;489700021151;4;550122002;0;0;UN;TINTA PACIF 472 CY;TINTA PACIFCOLOR EPSON TO 472 CYAN 14ML;567;567;1;7678;HE;  ;2018-07-25T17:13:52
